property_name,property_type,address,area,year,floors,developer,transaction_count,image_url,region,district,code
Hong Kong (Chai Wan) Industrial Building,Industrial,26 Lee Chung Street,,1965 Year,9 Floor(s),,2,https://hkis.centanet.com/oir/b2jHa-c_b2YmIStAXV9dXkJeXkJfVkAsV1gqW1YrLl9aLClbLlpWLlZWV18pLF1XKldfVi1fWkEFHwg=.jpg,HK_Island,Chai Wan,WS012
Sze Hing Industrial Building,Industrial,37 Lee Chung Street,,1972 Year,12 Floor(s),,2,https://hkis.centanet.com/oir/Gh2yHpJKGhNTVF41KCooKzcrKzcqIzUiKl5fIiopXigqXiwuLSIpIy0vL1tbKFwpKCNbKlgoLzRwan0=.jpg,HK_Island,Chai Wan,WS012
Prince Industrial Building (SSW),Industrial,5 Sun Yip Street,,1977 Year,13 Floor(s),,2,https://hkis.centanet.com/oir/VlH-Ut4GVl8fGBJ5ZGZnZXtmZ3tkbnliYm9uYHg8JjE=.jpg,HK_Island,Chai Wan,WS012
Reality Tower,Industrial,4 San On Street,,1977 Year,14 Floor(s),,1,https://hkis.centanet.com/oir/XFv0WNQMXFUVEhhzbmxsZHFsanFuZHNta2Rla3I2LDs=.jpg,HK_Island,Chai Wan,WS012
Glory Industrial Building,Industrial,22 Lee Chung Street,,1968 Year,12 Floor(s),,,https://hkis.centanet.com/oir/Y2TLZ-szY2oqLSdMUVNRUk5SUk5TWkwmUyAlVCFUJVNVISdXVyBRIVFVUyZVU1UiUSEnVldTIE0JEwQ=.jpg,HK_Island,Chai Wan,WS012
Chung On Industrial Building,Industrial,28 Lee Chung Street,,1965 Year,9 Floor(s),,,https://hkis.centanet.com/oir/b2jHa-c_b2YmIStAXV9dXkJeXkJfVkAsKS4pWV1ZXS1aLldbV10sVypfLVZZXykrWl9dXlkpV0EFHwg=.jpg,HK_Island,Chai Wan,WS012
Gee Tung Chang Industrial Building,Industrial,4 Fung Yip Street,,1982 Year,14 Floor(s),,2,https://hkis.centanet.com/oir/VVL9Ud0FVVwcGxF6Z2VlbXhlY3hnbXpkbWZhYns_JTI=.jpg,HK_Island,Chai Wan,WS012
Summit Industrial Building,Industrial,9 Sun Yip Street,,1982 Year,14 Floor(s),,1,https://hkis.centanet.com/oir/VlH-Ut4GVl8fGBJ5ZGZmbntmYHtkbnlnYWNvZng8JjE=.jpg,HK_Island,Chai Wan,WS012
Gee Wing Chang Industrial Building,Industrial,6 Fung Yip Street,,1983 Year,14 Floor(s),,2,https://hkis.centanet.com/oir/U1T7V9sDU1oaHRd8YWNja35jZX5ha3xiZGtjYn05IzQ=.jpg,HK_Island,Chai Wan,WS012
Yeung Yiu Chung (No. 7) Industrial Bldg.,Industrial,2 Fung Yip Street,,1981 Year,15 Floor(s),,5,https://hkis.centanet.com/oir/a2zDb-M7a2IiJS9EWVtZWkZaWkZbWkReXFMoKC5ZKF9dWi5fLVspUylSXV1TXFgoWC8uWS1fXEUBGww=.jpg,HK_Island,Chai Wan,WS012
