building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,centanet_id,centanet_original_key,centanet_name,match_score
LH_5558,5558,5558,West Gate Tower,5ae31d3b-3ec1-49c1-ab06-a69b6f2eef0e,5ae31d3b-3ec1-49c1-ab06-a69b6f2eef0e,West Gate Tower,90.0
LH_5598,5598,5598,Westley Square,9e53dcc2-2c33-40d4-81bc-370cbfe90e55,9e53dcc2-2c33-40d4-81bc-370cbfe90e55,Westley Square,90.0
LH_2287,2287,2287,Wharf T&T Centre,e2e58825-797d-48d7-94e5-5ec776aa672c,e2e58825-797d-48d7-94e5-5ec776aa672c,Wharf T & T Centre,88.0
LH_1281,1281,1281,Wheelock House,6390fc5c-de54-4241-aeac-ce8745c1b9e9,6390fc5c-de54-4241-aeac-ce8745c1b9e9,Wheelock House,90.0
LH_6553,6553,6553,Win Century Centre,b7b4a4f4-2d5e-4a8a-b456-77a93dd3e7b5,b7b4a4f4-2d5e-4a8a-b456-77a93dd3e7b5,Win Century Centre,89.4
LH_1150,1150,1150,Windsor House - Chubb Tower,502d1b42-7b73-4da6-b38e-bae5caff4f28,502d1b42-7b73-4da6-b38e-bae5caff4f28,WINDSOR HOUSE - CHUBB TOWER,90.0
LH_134,134,134,Wing On Centre,60475b5a-1892-4690-a27e-de9fb6c9705d,60475b5a-1892-4690-a27e-de9fb6c9705d,Wing On Centre,78.6
LH_1,1,1,Wing On House,5bd7548f-da26-4e74-8805-196966cd6764,5bd7548f-da26-4e74-8805-196966cd6764,Wing On House,90.0
LH_2940,2940,2940,Wing On Kowloon Centre,36cc324e-0851-4765-b38d-d0acaf029a36,36cc324e-0851-4765-b38d-d0acaf029a36,Wing On Kowloon Centre,76.4
LH_2665,2665,2665,Wing On Plaza,7678bb06-98f3-4258-b5b6-eba33f49bad2,7678bb06-98f3-4258-b5b6-eba33f49bad2,Wing On Plaza,90.0
LH_1411,1411,1411,Winland Square,2c6e3e89-67b5-4e9d-b7e9-0e30f04959da,2c6e3e89-67b5-4e9d-b7e9-0e30f04959da,Winland Square,90.0
LH_5600,5600,5600,Wong Tze Building,747704a8-872b-4828-8581-ce244b8c368e,747704a8-872b-4828-8581-ce244b8c368e,Wong Tze Building,90.0
LH_2288,2288,2288,World Commerce Centre,55761d16-d582-4933-bf79-a3d6069e0e56,55761d16-d582-4933-bf79-a3d6069e0e56,World Commerce Centre,90.0
LH_2290,2290,2290,World Finance Centre North,60d5f1c5-8a92-4bd1-9949-7481c7bec1e3,60d5f1c5-8a92-4bd1-9949-7481c7bec1e3,World Finance Centre (North Tower),90.0
LH_2289,2289,2289,World Finance Centre South,22d5e3ba-5fe6-44c8-a8d8-fffb77902523,22d5e3ba-5fe6-44c8-a8d8-fffb77902523,World Finance Centre (South Tower),90.0
LH_7913,7913,7913,World Peace Centre,d71f3278-5d9c-4f5c-b4e6-9144fbde18b3,d71f3278-5d9c-4f5c-b4e6-9144fbde18b3,World Peace Centre,90.0
LH_1166,1166,1166,World Trade Centre,9656cb88-dc3e-4b2c-9f60-0f3347c1d186,9656cb88-dc3e-4b2c-9f60-0f3347c1d186,World Trade Centre,90.0
