ID,Name,Street Name,Area Name,Year Built,Highest Floor,Typical Floor Area,District Name,Latitude,Longitude,Grade,Min Rent,Max Rent,Min Price,Max Price
12274,8 Observatory Road,8 Observatory Road,Tsimshatsui,2017,,"9,000 - 11,431",Yau Tsim Mong District,22.301017993,114.176036996,A,35.81,45.71,,
9228,8 On Wo Lane,8 On Wo Lane,Central,1985,8,,Central and Western District,22.28443450767814,114.15242093756139,C,,,,
170,8 Queen's Road Central,8 Queen's Road Central,Central,2000,28,"3,012",Central and Western District,22.280260005,114.15791299300001,A,76,85,,
322,8 Queen's Road East,8 Queen's Road East,Admiralty,1968,18,"2,744 - 3,854",Central and Western District,22.277450007,114.168120005,B+,,,,
1974,8 Wyndham Street,8 Wyndham Street,Central,1997,30,"3,586",Central and Western District,22.281018002,114.156602002,B+,48,48,,
1167,80 Gloucester Road,80 Gloucester Road,Wanchai,1986,22,"2,500",Wanchai District,22.27909530587201,114.1728935439291,B+,40.8,42.6,,
17684,83 King Lam Street - Tower A,83 King Lam Street,Lai Chi Kok,2024,30,"32,522 - 32,490",Sham Shui Po District,22.33926101682346,114.14627248227622,A+,20,28,,
17685,83 King Lam Street - Tower B,83 King Lam Street,Lai Chi Kok,2024,30,"16,408 - 17,991",Sham Shui Po District,22.33916178047427,114.14626175344016,A+,26,30,,
2247,83 Wan Chai Road,83 Wanchai Road,Wanchai,1995,28,"2,206",Wanchai District,22.2763094,114.1748452,B,22,30.83,,
17686,83 Wing Hong Street,83 Wing Hong Street,Lai Chi Kok,2024,31,"18,000",Sham Shui Po District,22.33993441910416,114.15060796004944,A+,25.06,27,,
2534,88 Commercial Building,28-34 Wing Lok Street,Sheung Wan,1992,21,"1,709",Central and Western District,22.286180002,114.152294001,B,25.04,25.04,,
1156,88 Gloucester Road,88 Gloucester Road,Wanchai,1987,22,"4,333",Wanchai District,22.27892349489458,114.173334416664,A,31,40,,
1844,88 Hing Fat Street,88 Hing Fat Street,Tin Hau,2000,36,"4,200",Wanchai District,22.285793007,114.190837993,B+,29,35,,
1002,88 Lockhart Road,88 Lockhart Road,Wanchai,1990,26,"2,010",Wanchai District,22.2779182,114.1718263,C,29.16,29.16,12189,14200
17558,88WL,88 Wing Lok Street,Sheung Wan,2022,,"4,518",Central and Western District,22.2865132,114.150992,A,33,45,,
4451,9 Chiu Lung Street,9 Chiu Lung Street,Central,1997,23,"1,660",Central and Western District,22.282598,114.1564993,B,36,38,15000,15000
7337,9 Chong Yip Street,9 Chong Yip Street,Kwun Tong,2004,,"6,580",Kwun Tong District,22.31356357311032,114.2202381766865,B+,19,19.5,,
846,9 Des Voeux Road West,9-17 Des Voeux Road West,Sheung Wan,1994,29,"7,200",Central and Western District,22.2880164,114.1474189,A,30,32,13800,22000
16429,9 Po Lun Street,9 Po Lun Street,Mei Foo,1989,,"11,000",Sham Shui Po District,22.3362913,114.1426813,B,16,16.5,,
139,9 Queen's Road Central,9 Queen's Road Central,Central,1991,34,"13,742",Central and Western District,22.28040030906162,114.1583743991903,A,43,66.71,41074,41074
5555,9 Wing Hong Street,9 Wing Hong Street,Lai Chi Kok,1996,,"9,500 - 12,071",Sham Shui Po District,22.338296997,114.14576299400001,A,20,20,,
6307,909 Cheung Sha Wan Road,909 Cheung Sha Wan Road,Lai Chi Kok,2007,,"9,000",Sham Shui Po District,22.336393995,114.14637500100001,A,27,28,,
17542,91 King Lam Street,91 King Lam Street,Lai Chi Kok,2025,,,Sham Shui Po District,22.33934896040647,114.14691804990373,B+,,,,
17576,92-103A Connaught Road West,92-103A Connaught Road West,Sheung Wan,2025,,,Central and Western District,22.288255,114.14572,A,,,,
4922,93WYS,93 Wai Yip Street,Kwun Tong,2016,,"1,500",Kwun Tong District,22.31636407325807,114.21489324185043,B+,,,,
17476,99 COMMONS,99 Pui To Road,Tuen Mun,2020,,,Tuen Mun District,22.3950531,113.9678967,A,,,,
7206,99 Plaza,99 Tai Ho Road,Tsuen Wan,1999,,"2,711",Tsuen Wan District,22.370945003,114.11486999099999,B+,20,30,,
2045,Abdoolally House,20 Stanley Street,Central,1966,11,"1,750",Central and Western District,22.282044991,114.155638993,B,34.29,34.29,,
7224,ACME Building,22-28 Nanking Street,Jordan,1983,,"2,145",Yau Tsim Mong District,22.3063073,114.1723372,B,,,,
1131,Admiralty Centre Tower 1,18 Harcourt Road,Admiralty,1980,28,"20,318",Central and Western District,22.279527709,114.164830692,A,35,48,0,40000
1130,Admiralty Centre Tower 2,18 Harcourt Road,Admiralty,1980,26,"10,627",Central and Western District,22.2791365,114.165544,A,30,48,20000,32000
102,Agricultural Bank of China Tower,50 Connaught Road Central,Central,2011,29,"5,017 - 6,518",Central and Western District,22.285096009,114.155905003,A+,75,95,,
18026,AIA Building ,1 Stubbs Road,Happy Valley,2023,20,,Wanchai District,22.2738519,114.1773469,A+,,,,
115,AIA Central,1 Connaught Road Central,Central,2005,35,"12,288 - 15,967",Central and Western District,22.281270003,114.161937995,A+,100,120,,
6238,AIA Financial Centre,712 Prince Edward Road East,Sanpokong,2009,,"11,849",Wong Tai Sin District,22.334684477746,114.19944232586367,A,21.5,24,15236,15236
1674,AIA Hong Kong Tower,734 King's Road,Quarry Bay,1954,,"12,500 - 15,800",Eastern District,22.291194009,114.20790700900001,A,,,,
2773,AIA Tower,183 Electric Road,North Point,1998,43,"12,899",Eastern District,22.2884201,114.1924714,A,40,48,24785,24785
123,AIE Building,33 Connaught Road Central,Central,1976,15,893,Central and Western District,22.283679002,114.157034001,B,,,,
11538,Airport World Trade Centre,1 Sky Plaza Road,Chep Lap Kok,2008,,,Islands District,22.314886998,113.937628008,A,,,,
17422,Airside,2 Concorde Road,Kai Tak,2023,47,"32,800 - 53,600",Kowloon City District,22.33155851674139,114.19810652732849,A++,0,40,,
5599,Aitken Vanson Centre,61 Hoi Yuen Road,Kwun Tong,1998,,"5,723",Kwun Tong District,22.3106344,114.2246075,B+,18,19,,
2618,Albion Plaza,2-6 Granville Road,Tsimshatsui,1983,,"6,620",Yau Tsim Mong District,22.2994004,114.1725926,B,42,42,,
1193,Alexandra House,18 Chater Road,Central,1976,34,"11,250 - 11,833",Central and Western District,22.281598999,114.158585995,A,0,120,,
117,Alliance Building,130-136 Connaught Road Central,Sheung Wan,1975,24,"6,000",Central and Western District,22.287054004,114.151889005,B,32,32,,
1157,Allied Kajima Building,134-143 Gloucester Road,Wanchai,1991,24,"9,506",Wanchai District,22.27922652786283,114.1763054819479,A,38,46,,
1501,Allways Centre,468 Jaffe Road,Causeway Bay,1995,23,"1,395",Wanchai District,22.280853991,114.182103008,B,23.08,23.08,,
2251,Amber Commercial Building,70-74 Morrison Hill Road,Wanchai,1980,22,"3,468",Wanchai District,22.27651990796021,114.1801784754085,B,,,,
51,Amtel Building,144-148 Des Voeux Road Central,Central,1984,19,"750 - 2,000",Central and Western District,22.28544280293022,114.1543577844874,B,,,,
10254,Anglo Chinese Centre,13-17 Wing Wah Lane,Central,1971,9,,Central and Western District,22.281227009,114.15524499099999,C,,,,
3804,Anton Building,1 Anton Street,Wanchai,1984,14,863,Wanchai District,22.2772911,114.1687624,C,,,,
12434,AOffice46,57-59 Kwok Shui Road,Kwai Chung,2017,,"117 - 6,810",Kwai Tsing District,22.369258706,114.132888903,B+,,,,
5601,Apec Plaza,49 Hoi Yuen Road,Kwun Tong,1995,,"10,000",Kwun Tong District,22.310101007,114.22379100500001,A,16,21,,
2988,Argyle Centre Phase 1,688 Nathan Road,Mongkok,1982,,"15,800",Yau Tsim Mong District,22.3198395,114.1697195,B,35.99,51.28,17059,22042
369,Arion Commercial Centre,2-12 Queen's Road West,Sheung Wan,1981,26,"460 - 9,267",Central and Western District,22.286383991,114.14835600500001,B,21.04,31.01,7258,7258
13567,Arthur Commercial Building,33 Arthur Street,Yaumatei,1992,,,Yau Tsim Mong District,22.311049,114.170422,C,,,,
