queriedDistrict,queriedCode,propertyID,buildingNameEn,address,developers,opDateDisplayName,floorDisplayName,districtNameEn,zoneEn,sellCount,rentCount,transCount
Chai Wan,WS012,255e18cd-1fa6-4f40-9858-fd7a5c2f662e,Gee Wing Chang Industrial Building,6 Fung Yip Street,,1983 Year,14 Floor(s),Chai Wan,Hong Kong,0,0,2
Chai Wan,WS012,82df1bae-ae73-40c7-903d-c8de01d153a3,Yeung Yiu Chung (No. 7) Industrial Bldg.,2 Fung Yip Street,,1981 Year,15 Floor(s),Chai Wan,Hong Kong,0,0,5
Chai Wan,WS012,7a729cac-351b-4bb9-865c-5275fa632b42,Luen Fat Loong Factory Building,19 Cheung Lee Street,,1965 Year,6 Floor(s),Chai Wan,Hong Kong,0,0,0
Chai Wan,WS012,600f1ce0-80c7-4196-ac94-7e3671f7bafe,Fook Hing Factory Building,33 Lee Chung Street,,1972 Year,10 Floor(s),Chai Wan,Hong Kong,0,0,0
Chai Wan,WS012,815a865a-25d7-4876-96ad-c5c82e13becb,Minico Building,18 Lee Chung Street,,1980 Year,13 Floor(s),Chai Wan,Hong Kong,0,0,0
Chai Wan,WS012,e4a08a7b-531a-4308-9c4e-0c93c3452481,Shun Yee Factory Building,30-32 Lee Chung Street,,1966 Year,10 Floor(s),Chai Wan,Hong Kong,0,0,0
Chai Wan,WS012,beb7895a-dd63-4c44-8198-1524501092e0,Mega-iAdvantage,399 Chai Wan Road,"Sun Hung Kai Properties Limited, Sanewing Investments Limited",2000 Year,34 Floor(s),Chai Wan,Hong Kong,0,0,0
Tin Hau,WS046,d1b11d99-9990-4477-ac76-e99382b5cb35,Citicorp Centre,18 Whitfield Road,Cheung Kong (Holdings) Limited,1983 Year,37 Floor(s),Tin Hau,Hong Kong,2,8,2
Tin Hau,WS046,f06161ac-4a01-4c89-858e-645c9d54d4be,Sea View Estate B,2-8 Watson Road,Laws Property Holdings Limited,1966 Year,14 Floor(s),Tin Hau,Hong Kong,3,4,6
Tin Hau,WS046,b3e23d5a-da19-40b0-a588-4bb04dd3fd0f,Sea View Estate A,2-8 Watson Road,Laws Property Holdings Limited,1966 Year,14 Floor(s),Tin Hau,Hong Kong,4,1,7
Tin Hau,WS046,725161f4-4606-4289-ab4c-5dab7e2991ea,Sea View Estate C,2-8 Watson Road,Laws Property Holdings Limited,1971 Year,14 Floor(s),Tin Hau,Hong Kong,1,1,2
Shau Kei Wan,WS011,e4721ddf-76ad-42b0-ae58-5ae799c162ff,Centro-Sound Industrial Building,6 A Kung Ngam Village Road,,1978 Year,7 Floor(s),Shau Kei Wan,Hong Kong,2,3,0
Shau Kei Wan,WS011,cbb55cad-4d08-419b-9e91-ddd9ae26f19f,Hop Lung Factory Building,1 Mong Lung Street,,1975 Year,21 Floor(s),Shau Kei Wan,Hong Kong,0,4,2
Shau Kei Wan,WS011,5f0956d0-a45d-4bc3-83e4-1ac4e66b4283,Manson Industrial Building,8 A Kung Ngam Village Lane,,1976 Year,16 Floor(s),Shau Kei Wan,Hong Kong,0,0,0
Shau Kei Wan,WS011,1c4bfaac-f6cc-4171-87d9-1b2c3244e462,Horizon East (SKW),3 Tung Wong Road,,2000 Year,21 Floor(s),Shau Kei Wan,Hong Kong,0,0,0
Shau Kei Wan,WS011,626f06ce-9a2f-4cda-bfa8-0bc951882148,Len Shing Industrial Centre,4 A Kung Ngam Village Road,,1980 Year,5 Floor(s),Shau Kei Wan,Hong Kong,0,0,0
Shau Kei Wan,WS011,ed8bec75-2663-4f08-b364-ca66ab042685,Storefriendly Tower (Island East),8 A Kung Ngam Village Road,,1980 Year,5 Floor(s),Shau Kei Wan,Hong Kong,0,0,0
Aberdeen,WS047,d64ea857-a01b-481a-870b-9b6ec83d09ce,Aberdeen Industrial Building,236 Aberdeen Main Road,,1982 Year,22 Floor(s),Aberdeen,Hong Kong,2,1,3
Aberdeen,WS047,8a60ed95-636b-4607-8c8e-480c181fe140,Shing Dao Industrial Building,232 Aberdeen Main Road,E. Wah Realty Limited,1978 Year,20 Floor(s),Aberdeen,Hong Kong,0,1,0
Western District,WS001,fa36a9b3-0a54-4aab-961c-d42ebfbf03d7,Hong Kong Plaza,188 Connaught Road West,Sanfield Building Contractors,1983 Year,43 Floor(s),Western District,Hong Kong,24,24,24
Western District,WS001,a3bc54ba-ca53-4d62-9840-6ae9dfae11ee,Hong Kong Industrial Building,444-452 Des Voeux Road West,,1981 Year,22 Floor(s),Western District,Hong Kong,11,2,14
Western District,WS001,725ee05f-2173-4d25-91a2-02734a681e4c,Yiuga Factory Building,62 Victoria Road,,1987 Year,24 Floor(s),Western District,Hong Kong,9,3,2
Western District,WS001,f328b9ab-797a-4d18-b19b-503c17f34bf1,Kwong Ga Factory Building,64 Victoria Road,,1989 Year,20 Floor(s),Western District,Hong Kong,3,0,4
Western District,WS001,e741661b-186b-497f-81be-9a8ee6167495,Cheung Fat Building (WD),7-9 Hill Road,,1972 Year,16 Floor(s),Western District,Hong Kong,2,2,1
Western District,WS001,3dbea6a8-881d-4b4a-9d54-0e8dff8d99c9,Cheung Hing Industrial Building (WD),12 Smithfield,,1972 Year,15 Floor(s),Western District,Hong Kong,1,0,3
Western District,WS001,76f9e5b4-de55-457c-ae69-75380fc49127,Kam Teem Industrial Building,135 Connaught Road West,,1979 Year,13 Floor(s),Western District,Hong Kong,0,0,0
Causeway Bay,WS007,e2dfc3c9-52a0-4fc7-ba1a-8fee276f886c,Circle Tower,28 Tang Lung Street,,1996 Year,23 Floor(s),Causeway Bay,Hong Kong,0,11,4
Causeway Bay,WS007,c2c7e001-31c7-4e89-bc3f-9f85defd75a8,Sino Plaza,255-257 Gloucester Road,,1992 Year,27 Floor(s),Causeway Bay,Hong Kong,0,11,13
Causeway Bay,WS007,54ac4e37-d352-49c7-ace6-74b49effa257,"China Tai Ping Tower, Phase I",8 Sunning Road,,1992 Year,26 Floor(s),Causeway Bay,Hong Kong,0,10,3
Causeway Bay,WS007,88a8a107-d942-48d5-9ea7-c5d035edeac5,Hang Lung Centre,2-20 Paterson Street,Hang Lung Properties Limited,1975 Year,26 Floor(s),Causeway Bay,Hong Kong,0,10,9
Causeway Bay,WS007,c886bb05-9d0a-4fa4-b08d-0a77c79a56ef,Kyoto Plaza,491-499 Lockhart Road,,1992 Year,23 Floor(s),Causeway Bay,Hong Kong,9,1,11
Causeway Bay,WS007,0232753d-1be4-428b-9111-6db2e9cdb3ca,"Times Square, Tower 2",1 Matheson Street,Wheelock and Company Limited,1993 Year,39 Floor(s),Causeway Bay,Hong Kong,0,7,8
Causeway Bay,WS007,af65a222-751f-483f-9ceb-62d8490c1e49,68 Yee Wo Street,68 Yee Wo Street,,1984 Year,24 Floor(s),Causeway Bay,Hong Kong,0,7,1
Causeway Bay,WS007,6ca9d806-3094-4810-806d-88c8fd2491a9,"China Tai Ping Tower, Phase II",8 Sunning Road,,1997 Year,27 Floor(s),Causeway Bay,Hong Kong,0,7,4
Causeway Bay,WS007,d0cd0bc5-9979-4257-9e5e-055ee6db044c,Prosperous Commercial Building,54-58 Jardine's Bazaar,Cheerwall Development Limited,1991 Year,26 Floor(s),Causeway Bay,Hong Kong,7,2,5
Causeway Bay,WS007,c328ef26-fb73-4597-9ff1-3906452d525b,Catic Plaza,8 Causeway Road,Times Properties Limited,1994 Year,28 Floor(s),Causeway Bay,Hong Kong,4,1,3
Causeway Bay,WS007,9656cb88-dc3e-4b2c-9f60-0f3347c1d186,World Trade Centre,280 Gloucester Road,Sun Hung Kai Properties Limited,1976 Year,43 Floor(s),Causeway Bay,Hong Kong,0,5,12
Causeway Bay,WS007,8b2642e5-689b-41c7-826f-c4cb99ebdb71,Plaza 2000,8 Canal Road East,,1982 Year,25 Floor(s),Causeway Bay,Hong Kong,0,4,4
Causeway Bay,WS007,93774f88-477b-4f2e-a73c-d48448fac449,Park Avenue Tower,5 Moreton Terrace,Kwong Sang Hong Estate Agents Limited,1992 Year,28 Floor(s),Causeway Bay,Hong Kong,4,0,0
Causeway Bay,WS007,57ff18ce-5256-499f-b457-2dec554aef19,Circle Plaza,499 Hennessy Road,,1988 Year,24 Floor(s),Causeway Bay,Hong Kong,0,4,2
Causeway Bay,WS007,f9bc6a5f-bb9d-4e6d-949f-5760a858c96e,"Times Square, Tower 1",1 Matheson Street,Wheelock and Company Limited,1993 Year,47 Floor(s),Causeway Bay,Hong Kong,0,3,6
Causeway Bay,WS007,ffa65c31-00b4-4740-8ebe-8b503979142a,Soundwill Plaza,38 Russell Street,Soundwill Real Estate Agency Limited,1996 Year,32 Floor(s),Causeway Bay,Hong Kong,0,3,0
Causeway Bay,WS007,8658d886-2039-40d2-874c-3774e1f27acf,Chung Wai Commercial Building,447-449 Lockhart Road,,1993 Year,23 Floor(s),Causeway Bay,Hong Kong,2,1,6
Causeway Bay,WS007,f3d1bfd6-c895-429c-a12f-7a31793eb2ea,Cofco Tower,262 Gloucester Road,,1993 Year,33 Floor(s),Causeway Bay,Hong Kong,0,3,8
Causeway Bay,WS007,1850b2b5-ae9a-4bdd-99a8-38571b985300,East Point Centre,555 Hennessy Road,,1985 Year,22 Floor(s),Causeway Bay,Hong Kong,2,2,8
Causeway Bay,WS007,9d5039c7-3897-4bec-a4de-9eab0d9b2bf7,Tower 535,535 Jaffe Road,PHOENIX PROPERTY INVESTORS (H.K.) LIMITED,2015 Year,25 Floor(s),Causeway Bay,Hong Kong,0,2,2
Causeway Bay,WS007,67874cd0-e9c9-4c0c-a7e9-28ab23941d92,Fortune Centre,44-48 Yun Ping Road,Jodwell Investment Limited,1994 Year,22 Floor(s),Causeway Bay,Hong Kong,1,1,2
Causeway Bay,WS007,6c85b645-4ba0-4625-a6d9-66af6709947a,Siu On Plaza,482 Jaffe Road,,1993 Year,28 Floor(s),Causeway Bay,Hong Kong,0,1,4
Causeway Bay,WS007,69a4e67b-2eb2-4e37-ad33-c013c5fa9c9d,Leighton Centre,77 Leighton Road,,1977 Year,25 Floor(s),Causeway Bay,Hong Kong,0,0,8
Causeway Bay,WS007,e5f2af0c-9ce5-46d5-b1b3-ea51f3e28f74,Causeway Bay Plaza 2,463-483 Lockhart Road,BRAIN ASSETS Industrial Limited,1992 Year,24 Floor(s),Causeway Bay,Hong Kong,0,0,6
Causeway Bay,WS007,5a3f2f59-41bc-4201-ad5d-76df53160c3b,Causeway Bay Plaza 1,489 Hennessy Road,BRAIN ASSETS Industrial Limited,1989 Year,25 Floor(s),Causeway Bay,Hong Kong,0,0,23
