Building Name,Address,Detail URL
Focal Industrial Centre Block A,21 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007768/Focal-Industrial-Centre-Block-A
Focal Industrial Centre Block B,21 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007769/Focal-Industrial-Centre-Block-B
Fu Hang Industrial Building,1 Hok Yuen Street East,https://www.midlandici.com.hk/ics/property/building/details/B000007485/Fu-Hang-Industrial-Building
Gemstar Tower,23 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007087/Gemstar-Tower
Guardforce Centre,3 Hok Yuen Street East,https://www.midlandici.com.hk/ics/property/building/details/B000007489/Guardforce-Centre
Harbour Centre Tower 1,1 Hok Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007891/Harbour-Centre-Tower-1
Harbour Centre Tower 2,8 Hok Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007892/Harbour-Centre-Tower-2
Heng Ngai Jewelry Centre,4 Hok Yuen St. East Kln,https://www.midlandici.com.hk/ics/property/building/details/B000019657/Heng-Ngai-Jewelry-Centre
Hilder Centre,2 Sung Ping Street,https://www.midlandici.com.hk/ics/property/building/details/B000007486/Hilder-Centre
Kaiser Estate 2nd Phase,47-53 Man Yue Street & 20-28 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007168/Kaiser-Estate-2nd-Phase
Kaiser Estate 3rd Phase,11 Hok Yuen Street,https://www.midlandici.com.hk/ics/property/building/details/B000007169/Kaiser-Estate-3rd-Phase
Kaiser Estate Phase 1,41 Man Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000054107/Kaiser-Estate-Phase-1
New Lee Wah Centre,88 To Kwa Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000022089/New-Lee-Wah-Centre
On Tin Centre,1 Sheung Hei Street,https://www.midlandici.com.hk/ics/property/building/details/B000080050/On-Tin-Centre
Sui Ying Industrial Building,1 Yuk Yat Street / 41 Lok Shan Road,https://www.midlandici.com.hk/ics/property/building/details/B000023549/Sui-Ying-Industrial-Building
Winner Building,"32, 32a & 34-40 Man Yue Street & 25-37 Tai Wan Road Kowloon",https://www.midlandici.com.hk/ics/property/building/details/B000056050/Winner-Building
Canny Industrial Building,33 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000018309/Canny-Industrial-Building
