building_key,midland_id,midland_original_key,midland_name,centanet_id,centanet_original_key,centanet_name,match_score
MD_B000019965,B000019965,B000019965,Tung Tak Centre,e6cd560f-ff2e-4426-9bb1-dcfe9470b3c9,e6cd560f-ff2e-4426-9bb1-dcfe9470b3c9,Tung Tak Centre,90.0
MD_B000024398,B000024398,B000024398,Valid Industrial Centre,664b3937-5eb6-4293-9e54-a396bb408662,664b3937-5eb6-4293-9e54-a396bb408662,Valid Industrial Centre,88.2
MD_B000007117,B000007117,B000007117,Vanta Industrial Centre,bc3bd500-e4e0-4b76-876c-95e1000e24a1,bc3bd500-e4e0-4b76-876c-95e1000e24a1,Vanta Industrial Centre,90.0
MD_B000024443,B000024443,B000024443,Vigor Industrial Building Block A,9b405e1b-ffc0-422b-84f3-d68279769386,9b405e1b-ffc0-422b-84f3-d68279769386,Vigor Industrial Building A,90.0
MD_B000059749,B000059749,B000059749,Vigor Industrial Building Block B,8f214445-3080-4214-bd3a-46a18814a963,8f214445-3080-4214-bd3a-46a18814a963,Vigor Industrial Building B,90.0
MD_B000024444,B000024444,B000024444,"Vigor Industrial Building, Block 1",951be6ec-57ab-47ad-9604-68a45a21802e,951be6ec-57ab-47ad-9604-68a45a21802e,Vigor Industrial Building II,86.4
MD_B000024526,B000024526,B000024526,Waford Industrial Building,9add7617-0bfa-4882-9ddf-478ace537ac3,9add7617-0bfa-4882-9ddf-478ace537ac3,Waford Industrial Building,83.0
MD_B000024546,B000024546,B000024546,Wah Fat Industrial Building,ca26ae96-d909-40af-90c3-4106bf9c96ee,ca26ae96-d909-40af-90c3-4106bf9c96ee,Wah Fat Industrial Building,90.0
MD_B000024617,B000024617,B000024617,Wah Sing Industrial Building,06214307-02c3-409b-82dd-420e81d2ee19,06214307-02c3-409b-82dd-420e81d2ee19,Wah Sing Industrial Building,90.0
MD_B000007118,B000007118,B000007118,Well Fung Industrial Centre,76fb69d9-390d-4962-ae60-006f3ccd07ac,76fb69d9-390d-4962-ae60-006f3ccd07ac,Well Fung Industrial Centre,78.0
MD_B000059873,B000059873,B000059873,Wing Cheung Industrial Building,c68fb979-91aa-425d-b5ba-d4406e66332f,c68fb979-91aa-425d-b5ba-d4406e66332f,Wing Cheung Industrial Building (KC),90.0
MD_B000024953,B000024953,B000024953,Wing Kin Industrial Building,76b0a5f7-ec76-4c17-b2ab-cd16ef32290a,76b0a5f7-ec76-4c17-b2ab-cd16ef32290a,Kiu Kwong Industrial Building,76.4
MD_B000024971,B000024971,B000024971,Wing Loi Industrial Building,dd156fa9-aeb9-4fe5-a29e-018428632afb,dd156fa9-aeb9-4fe5-a29e-018428632afb,Shing On Industrial Building,76.8
MD_B000007784,B000007784,B000007784,"Wyler Centre, Phase Ii",e1e3640b-3407-4ed7-afed-705d6c79c755,e1e3640b-3407-4ed7-afed-705d6c79c755,Wyler Centre Phase II,90.0
MD_B000025205,B000025205,B000025205,Yam Hop Hing Industrial Building,f40f5352-5cd2-485a-992b-ecd5d07ce9ef,f40f5352-5cd2-485a-992b-ecd5d07ce9ef,Yam Hop Hing Industrial Building,90.0
MD_B000025473,B000025473,B000025473,Young Ya Industrial Building,e66706b4-7cb0-4eb5-90e0-f451b35f1427,e66706b4-7cb0-4eb5-90e0-f451b35f1427,Young Ya Industrial Building,90.0
